epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,13228.7,0.87495,0.37652,0.98719,0.9887,0.99491,0.99321,0.80553,0.78501,0.29571,1.00967,0.001882,0.001882,0.001882
84,13387.1,0.87426,0.37355,0.98375,0.98873,0.99493,0.99319,0.80552,0.78445,0.29527,1.00941,0.001783,0.001783,0.001783
85,13545.6,0.87264,0.37474,0.98309,0.98857,0.99498,0.9932,0.80611,0.78319,0.2942,1.00858,0.001684,0.001684,0.001684
86,13704.8,0.87178,0.37556,0.98551,0.98906,0.99454,0.99322,0.80638,0.78198,0.2941,1.00797,0.001585,0.001585,0.001585
87,13864.3,0.86817,0.37106,0.98406,0.98947,0.9942,0.99324,0.80689,0.78082,0.29358,1.00749,0.001486,0.001486,0.001486
88,14023.5,0.86474,0.36963,0.9817,0.98948,0.99421,0.99324,0.80764,0.7797,0.29316,1.00676,0.001387,0.001387,0.001387
89,14182.5,0.86202,0.36653,0.98014,0.98954,0.9943,0.99324,0.80795,0.77908,0.29279,1.00644,0.001288,0.001288,0.001288
90,14341.9,0.85995,0.36272,0.97917,0.98969,0.99413,0.99325,0.80775,0.77889,0.29238,1.0063,0.001189,0.001189,0.001189
91,14518.6,0.84844,0.34375,1.00973,0.99002,0.9942,0.99326,0.8082,0.77807,0.29216,1.00575,0.00109,0.00109,0.00109
92,14678,0.83723,0.34036,1.00455,0.98987,0.99436,0.99327,0.80858,0.77789,0.29193,1.00562,0.000991,0.000991,0.000991
93,14837.1,0.82835,0.33242,1.00022,0.98991,0.99455,0.99328,0.80909,0.77639,0.29156,1.00484,0.000892,0.000892,0.000892
94,14996.3,0.83085,0.33311,1.00207,0.98979,0.99471,0.9933,0.8098,0.77516,0.29091,1.00415,0.000793,0.000793,0.000793
95,15155.3,0.82569,0.3315,0.9995,0.9896,0.99488,0.99331,0.81042,0.77392,0.29048,1.00351,0.000694,0.000694,0.000694
96,15314,0.82349,0.32895,0.99863,0.98961,0.99504,0.99331,0.81092,0.77294,0.29,1.00296,0.000595,0.000595,0.000595
97,15472.7,0.8199,0.32834,0.99485,0.98964,0.99502,0.99332,0.81142,0.77211,0.2897,1.00259,0.000496,0.000496,0.000496
98,15631.4,0.81954,0.32532,0.99744,0.9897,0.99505,0.99334,0.81179,0.77136,0.28922,1.00216,0.000397,0.000397,0.000397
99,15790.3,0.81771,0.32495,0.9938,0.98974,0.9951,0.99334,0.81223,0.77068,0.28902,1.00179,0.000298,0.000298,0.000298
100,15948.6,0.81889,0.32412,0.99495,0.98968,0.99525,0.99335,0.81255,0.76989,0.28858,1.00138,0.000199,0.000199,0.000199
